Area,Element,Year,Sup,Production,Yield
Argentina,Area harvested,1961,980,957,977
Argentina,Area harvested,1962,9649,11220,1163
Argentina,Area harvested,1963,19302,18920,980
Argentina,Area harvested,1964,12220,14000,1146
Argentina,Area harvested,1965,16422,17000,1035
Argentina,Area harvested,1966,15689,18200,1160
Argentina,Area harvested,1967,17290,20500,1186
Argentina,Area harvested,1968,20200,22000,1089
Argentina,Area harvested,1969,28200,31800,1128
Argentina,Area harvested,1970,25970,26800,1032
Argentina,Area harvested,1971,36330,59000,1624
Argentina,Area harvested,1972,68000,78000,1147
Argentina,Area harvested,1973,157030,272000,1732
Argentina,Area harvested,1974,334440,496000,1483
Argentina,Area harvested,1975,355940,485000,1363
Argentina,Area harvested,1976,433500,695000,1603
Argentina,Area harvested,1977,660000,1400000,2121
Argentina,Area harvested,1978,1150000,2500000,2174
Argentina,Area harvested,1979,1600000,3700000,2313
Argentina,Area harvested,1980,2030000,3500000,1724
Argentina,Area harvested,1981,1880000,3770000,2005
Argentina,Area harvested,1982,1985600,4150000,2090
Argentina,Area harvested,1983,2280700,4000000,1754
Argentina,Area harvested,1984,2910000,7000000,2406
Argentina,Area harvested,1985,3269000,6500000,1988
Argentina,Area harvested,1986,3316000,7100000,2141
Argentina,Area harvested,1987,3532650,6700000,1897
Argentina,Area harvested,1988,4373200,9900000,2264
Argentina,Area harvested,1989,3931250,6500000,1653
Argentina,Area harvested,1990,4961600,10700000,2157
Argentina,Area harvested,1991,4774500,10862000,2275
Argentina,Area harvested,1992,4935710,11310000,2292
Argentina,Area harvested,1993,5116235,11045400,2159
Argentina,Area harvested,1994,5748910,11719900,2039
Argentina,Area harvested,1995,5934160,12133000,2045
Argentina,Area harvested,1996,5913415,12448200,2105
Argentina,Area harvested,1997,6393780,11004890,1721
Argentina,Area harvested,1998,6954120,18732172,2694
Argentina,Area harvested,1999,8180000,20000000,2445
Argentina,Area harvested,2000,8637503,20135800,2331
Argentina,Area harvested,2001,10400193,26880852,2585
Argentina,Area harvested,2002,11405247,30000000,2630
Argentina,Area harvested,2003,12419995,34818552,2803
Argentina,Area harvested,2004,14304539,31576752,2208
Argentina,Area harvested,2005,14032198,38289744,2729
Argentina,Area harvested,2006,15130038,40537364,2679
Argentina,Area harvested,2007,15981264,47482784,2971
Argentina,Area harvested,2008,16387438,46238088,2822
Argentina,Area harvested,2009,16771003,30993380,1848
Argentina,Area harvested,2010,18130800,52675464,2905
Argentina,Area harvested,2011,18764850,48888536,2605
Argentina,Area harvested,2012,17577320,40100196,2281
Argentina,Area harvested,2013,19418824,49306200,2539
Argentina,Area harvested,2014,19252552,53397715,2774
Argentina,Area harvested,2015,19352115,61446556,3175
Argentina,Area harvested,2016,19504648,58799258,3015
Argentina,Area harvested,2017,17335102,54971626,3171
Argentina,Area harvested,2018,16318060,37787927,2316
Argentina,Area harvested,2019,16575887,55263891,3334
Argentina,Area harvested,2020,16710793,48780407,2919
Argentina,Area harvested,2021,16466714,46217911,2807
Argentina,Area harvested,2022,15874266,43861066,2763
Argentina,Area harvested,2023,14356922,25044978,1745
World,Area harvested,1961,23818820,26883158,1129
World,Area harvested,1962,23822275,27120148,1138
World,Area harvested,1963,24398949,28207071,1156
World,Area harvested,1964,25681026,29079547,1132
World,Area harvested,1965,25819966,31704923,1228
World,Area harvested,1966,26534256,36412918,1372
World,Area harvested,1967,28112290,37933319,1349
World,Area harvested,1968,28874372,41420481,1435
World,Area harvested,1969,28897038,41967347,1452
World,Area harvested,1970,29525510,43696887,1480
World,Area harvested,1971,30033769,45618769,1519
World,Area harvested,1972,31724286,47257207,1490
World,Area harvested,1973,37391240,59267889,1585
World,Area harvested,1974,37390118,52639832,1408
World,Area harvested,1975,38764952,64248541,1657
World,Area harvested,1976,37167564,57399226,1544
World,Area harvested,1977,42056753,73854802,1756
World,Area harvested,1978,46392180,75449966,1626
World,Area harvested,1979,50708188,88698341,1749
World,Area harvested,1980,50646946,81040368,1600
World,Area harvested,1981,50475793,88525040,1754
World,Area harvested,1982,52384044,92121684,1759
World,Area harvested,1983,49049878,79467061,1620
World,Area harvested,1984,52939196,90752915,1714
World,Area harvested,1985,53063617,101156845,1906
World,Area harvested,1986,51896341,94446350,1820
World,Area harvested,1987,52541951,100102463,1905
World,Area harvested,1988,54861083,93521958,1705
World,Area harvested,1989,58647478,107254261,1829
World,Area harvested,1990,57209429,108456443,1896
World,Area harvested,1991,54924995,102848965,1873
World,Area harvested,1992,56124645,113989217,2031
World,Area harvested,1993,59524887,115245084,1936
World,Area harvested,1994,62476532,136356261,2183
World,Area harvested,1995,62488236,126923582,2031
World,Area harvested,1996,61078869,130193238,2132
World,Area harvested,1997,66925225,144326264,2157
World,Area harvested,1998,70972099,160128822,2256
World,Area harvested,1999,72059556,157815479,2190
World,Area harvested,2000,74307776,161308383,2171
World,Area harvested,2001,76763012,177020743,2306
World,Area harvested,2002,78930501,180950733,2293
World,Area harvested,2003,83600947,190573528,2280
World,Area harvested,2004,91629138,205548134,2243
World,Area harvested,2005,92573297,214542761,2318
World,Area harvested,2006,95334564,221558922,2324
World,Area harvested,2007,90188422,219793075,2437
World,Area harvested,2008,96427113,231223485,2398
World,Area harvested,2009,99385139,223380802,2248
World,Area harvested,2010,102858828,265088429,2577
World,Area harvested,2011,103866590,261604943,2519
World,Area harvested,2012,105474837,241351401,2288
World,Area harvested,2013,111104577,277658288,2499
World,Area harvested,2014,117732497,306260567,2601
World,Area harvested,2015,120901834,323266190,2674
World,Area harvested,2016,122048068,335905762,2752
World,Area harvested,2017,125905263,359515843,2855
World,Area harvested,2018,124756334,345203256,2767
World,Area harvested,2019,121826112,336194001,2760
World,Area harvested,2020,127624186,355871647,2788
World,Area harvested,2021,130646334,372706080,2853
World,Area harvested,2022,134203467,353696966,2636
World,Area harvested,2023,136903849,371173609,2711
